Learning Rate,Epochs,Optimizer,Neurons,Activation function,Validation Accuracy,Validation F1,Validation Precision,Validation Recall,Validation Loss,Training Accuracy,Training F1,Training Precision,Training Recall,Training Loss
0.05,100,mini-batch,"[16, 8, 16]",tanh,0.618421052631579,0.26737206537853664,0.27045402298850574,0.27137709991158265,0.9808790182278947,0.62375,0.3115920218337708,0.3082096664221665,0.3171173310062199,0.8987685306966572
0.01,50,sgd,"[8, 10]",sigmoid,0.6140350877192983,0.275430038101615,0.3069247239125535,0.2738454170350722,0.9782344949804563,0.6125,0.29439216725699796,0.3103942028819506,0.29125653431208987,0.9176544840817411
0.01,50,gd,"[8, 10]",sigmoid,0.45614035087719296,0.10766045548654245,0.07951070336391437,0.16666666666666666,1.5534321666187447,0.405,0.11644628813412844,0.08413180649684505,0.19127888572333016,1.5820484041706737
0.01,50,mini-batch,"[8, 10]",sigmoid,0.5964912280701754,0.21726231229175222,0.205136276592954,0.2379899793692897,1.151211574404143,0.55375,0.20358993703913275,0.19142206111745294,0.22444666889111334,1.148300416504408
0.01,100,sgd,"[8, 10]",sigmoid,0.6140350877192983,0.275430038101615,0.3069247239125535,0.2738454170350722,0.9782344949804563,0.6125,0.29439216725699796,0.3103942028819506,0.29125653431208987,0.9176544840817411
0.01,100,gd,"[8, 10]",sigmoid,0.5307017543859649,0.16917585524455755,0.17012516469038208,0.2004862953138815,1.3932719612708895,0.485,0.16376859342778002,0.15826034430685595,0.1983372261150039,1.4162849674238733
0.01,100,mini-batch,"[8, 10]",sigmoid,0.6228070175438597,0.22317902085055574,0.20507650951199338,0.24478706159740646,1.1156396233492805,0.5525,0.2029711142024778,0.18582182343650233,0.22432154376598823,1.113384291755441
0.01,50,sgd,"[16, 8]",sigmoid,0.618421052631579,0.26091682697343377,0.31382275132275134,0.26250147362216325,0.9656137196368687,0.6025,0.2753942473452916,0.3009824561403509,0.27437533687533683,0.9298106930695653
0.01,50,gd,"[16, 8]",sigmoid,0.45614035087719296,0.10441767068273093,0.07602339181286549,0.16666666666666666,1.7344121726247688,0.405,0.09608540925266905,0.0675,0.16666666666666666,1.8509868359678165
0.01,50,mini-batch,"[16, 8]",sigmoid,0.5789473684210527,0.21007822586769956,0.19581881533101045,0.23001399941055112,1.1632396749441627,0.5375,0.19760845568932975,0.1852362761743067,0.21788455121788455,1.17066844797974
0.01,100,sgd,"[16, 8]",sigmoid,0.618421052631579,0.26091682697343377,0.31382275132275134,0.26250147362216325,0.9656137196368687,0.6025,0.2753942473452916,0.3009824561403509,0.27437533687533683,0.9298106930695653
0.01,100,gd,"[16, 8]",sigmoid,0.45614035087719296,0.10441767068273093,0.07602339181286549,0.16666666666666666,1.4549567558549281,0.405,0.09608540925266905,0.0675,0.16666666666666666,1.5308811390715038
0.01,100,mini-batch,"[16, 8]",sigmoid,0.5833333333333334,0.20746201758859986,0.19072681704260652,0.22817197170645445,1.139883820841809,0.55875,0.20539359482263284,0.1881112007258796,0.22689356022689355,1.1421145764159413
0.01,50,sgd,"[8, 8, 4]",sigmoid,0.45614035087719296,0.10441767068273093,0.07602339181286549,0.16666666666666666,1.1834878462894958,0.405,0.09608540925266905,0.0675,0.16666666666666666,1.1842283657726038
0.01,50,gd,"[8, 8, 4]",sigmoid,0.3815789473684211,0.09206349206349207,0.06359649122807018,0.16666666666666666,1.6732269793719956,0.41625,0.09796999117387467,0.069375,0.16666666666666666,1.5948592393819405
0.01,50,mini-batch,"[8, 8, 4]",sigmoid,0.3815789473684211,0.09206349206349207,0.06359649122807018,0.16666666666666666,1.1846459241026295,0.41625,0.09796999117387467,0.069375,0.16666666666666666,1.1903867201436773
0.01,100,sgd,"[8, 8, 4]",sigmoid,0.45614035087719296,0.10441767068273093,0.07602339181286549,0.16666666666666666,1.1834878462894958,0.405,0.09608540925266905,0.0675,0.16666666666666666,1.1842283657726038
0.01,100,gd,"[8, 8, 4]",sigmoid,0.3815789473684211,0.09206349206349207,0.06359649122807018,0.16666666666666666,1.485905065650797,0.41625,0.09796999117387467,0.069375,0.16666666666666666,1.4347025746336066
0.01,100,mini-batch,"[8, 8, 4]",sigmoid,0.3815789473684211,0.09206349206349207,0.06359649122807018,0.16666666666666666,1.183953726741571,0.41625,0.09796999117387467,0.069375,0.16666666666666666,1.1881826012962373
0.01,50,sgd,"[16, 8, 16]",sigmoid,0.6140350877192983,0.2605820105820105,0.27805932004817097,0.2637709991158267,0.9577693132825501,0.61125,0.2952939057957217,0.30678681116071205,0.2945905307016418,0.9323969472014619
0.01,50,gd,"[16, 8, 16]",sigmoid,0.45614035087719296,0.10441767068273093,0.07602339181286549,0.16666666666666666,1.3683283961225758,0.405,0.09608540925266905,0.0675,0.16666666666666666,1.346822352701143
0.01,50,mini-batch,"[16, 8, 16]",sigmoid,0.3815789473684211,0.09206349206349207,0.06359649122807018,0.16666666666666666,1.1905258023906835,0.41625,0.09887100652914065,0.1526733500417711,0.16668056945834722,1.1842766467894748
0.01,100,sgd,"[16, 8, 16]",sigmoid,0.6140350877192983,0.2605820105820105,0.27805932004817097,0.2637709991158267,0.9577693132825501,0.61125,0.2952939057957217,0.30678681116071205,0.2945905307016418,0.9323969472014619
0.01,100,gd,"[16, 8, 16]",sigmoid,0.4649122807017544,0.1549258430690198,0.14684544630133436,0.1773872679045093,1.2814017709808951,0.4475,0.15750533770764985,0.14718679598531723,0.1826270715159604,1.265501192149776
0.01,100,mini-batch,"[16, 8, 16]",sigmoid,0.3815789473684211,0.09206349206349207,0.06359649122807018,0.16666666666666666,1.1898680158568968,0.41625,0.09796999117387467,0.069375,0.16666666666666666,1.183342717885463
0.05,50,sgd,"[8, 10]",sigmoid,0.6140350877192983,0.2728581161641969,0.28808670904259137,0.2747848511641615,0.9895146435647569,0.63625,0.31509760500936973,0.3205847370296534,0.3150511622733845,0.8843691247770914
0.05,50,gd,"[8, 10]",sigmoid,0.5087719298245614,0.18524984481688392,0.18413943355119824,0.20625184202770408,1.2432602525613863,0.5025,0.17976277224516235,0.17994737305148323,0.20303636970303637,1.2535202063812492
0.05,50,mini-batch,"[8, 10]",sigmoid,0.631578947368421,0.22591277890466532,0.20755208333333333,0.24799218980253465,1.0097691777640794,0.56375,0.20698207631056995,0.1889405590826382,0.22902068735402067,1.0155899813225249
0.05,100,sgd,"[8, 10]",sigmoid,0.6140350877192983,0.2728581161641969,0.28808670904259137,0.2747848511641615,0.9895146435647569,0.63625,0.31509760500936973,0.3205847370296534,0.3150511622733845,0.8843691247770914
0.05,100,gd,"[8, 10]",sigmoid,0.5219298245614035,0.19048392837798103,0.18862704624294027,0.2110595343353964,1.1827342867500104,0.5275,0.19165914596494563,0.1867622724765582,0.2134078522967412,1.1825627542743882
