Learning Rate,Optimizer,Hidden Layers,Neurons,Activation Function,Training MSE,Training RMSE,Training R2,Validation MSE,Validation RMSE,Validation R2
0.05,mini-batch,3,"[16, 8, 16]",sigmoid,0.2690588384254764,0.5187088185345189,0.7411618454458258,0.24546169832331421,0.49544091304949195,0.7208640671998428
0.05,sgd,3,"[16, 32, 16]",sigmoid,0.15104143834301317,0.3886405001322085,0.8546961423356394,0.1338715613380998,0.36588462845287695,0.8477629568899032
0.05,gd,3,"[16, 32, 16]",sigmoid,1.0258602644598713,1.012847601794007,0.013108882662492771,0.8602528017636475,0.9274981411106157,0.021731415106741814
0.05,mini-batch,3,"[16, 32, 16]",sigmoid,0.29695145954964414,0.5449325275202831,0.714328775699046,0.22232435643399073,0.4715128380373017,0.7471755591959814
0.025,sgd,1,[20],sigmoid,0.1308531895917482,0.3617363537049438,0.8741175041501683,0.13063089033915667,0.3614289561437444,0.8514482068835577
0.025,gd,1,[20],sigmoid,0.36690440216305964,0.6057263426358966,0.6470331214189298,0.1937963087009183,0.4402230215480766,0.779617293565674
0.025,mini-batch,1,[20],sigmoid,0.26808427663745926,0.5177685550875596,0.7420993867516069,0.176152418496255,0.41970515662337887,0.7996817019199873
0.025,sgd,2,"[13, 6]",sigmoid,0.10809950719519731,0.32878489502286645,0.8960068469991165,0.19653312228174125,0.4433205637929976,0.7765050238429374
0.025,gd,2,"[13, 6]",sigmoid,0.7795132095700378,0.8829004528088304,0.2500980016250415,0.5939518482872453,0.7706827157055265,0.32456548478834324
0.025,mini-batch,2,"[13, 6]",sigmoid,0.32584755249623343,0.5708305812552735,0.6865303528117314,0.20191863399125792,0.4493535734711119,0.7703806881730113
0.025,sgd,2,"[16, 8]",sigmoid,0.13884576749727273,0.37262013834100904,0.8664285386907806,0.11798321602379372,0.3434868498557022,0.865830981841471
0.025,gd,2,"[16, 8]",sigmoid,0.9859138555439837,0.992931949100231,0.0515378553933723,0.8399752900712463,0.9165016585207286,0.04479074444320352
0.025,mini-batch,2,"[16, 8]",sigmoid,0.26565766127082996,0.5154198883151774,0.7444338227693448,0.21660364733734844,0.4654069695839851,0.7536810770868674
0.025,sgd,3,"[16, 8, 16]",sigmoid,0.12972351718432135,0.3601715107894034,0.8752042639195193,0.12791525056903227,0.357652415857956,0.8545363980170861
0.025,gd,3,"[16, 8, 16]",sigmoid,1.0405950230670744,1.020095595063068,-0.00106614963902385,0.8859499067999776,0.9412491204776648,-0.007491007102411018
0.025,mini-batch,3,"[16, 8, 16]",sigmoid,0.33367130672168444,0.5776428885753588,0.6790037979613057,0.25442332213131547,0.5044039275534197,0.7106730221686315
0.025,sgd,3,"[16, 32, 16]",sigmoid,0.17939647349261964,0.4235522086976051,0.827418224191814,0.1447112221175893,0.38040928237569244,0.8354362320135249
0.025,gd,3,"[16, 32, 16]",sigmoid,1.0350223465169097,1.0173604801233975,0.004294838770102394,0.8729171640922513,0.9343003607471482,0.0073296627516444834
0.025,mini-batch,3,"[16, 32, 16]",sigmoid,0.4057375483870932,0.6369753122273211,0.6096751220943868,0.27236848345255904,0.5218893402365669,0.6902660121183026
